Neighborhood,Population,City-Wide %,NBHD_Code
Academy,2355,0.8%,51
Baden,5465,1.8%,74
Bellefontaine/Calvary Cemetery,0,0.0%,86
Benton Park,3581,1.2%,22
Benton Park West,4238,1.4%,30
Bevo Mill,11941,4.0%,5
Botanical Heights,1196,0.4%,28
Boulevard Heights,8690,2.9%,4
Carondelet,7734,2.6%,1
Carondelet Park,15,0.0%,80
Carr Square,2236,0.7%,61
Central West End,16670,5.5%,38
Cheltenham,1260,0.4%,41
Clayton-Tamm,2348,0.8%,42
Clifton Heights,2836,0.9%,11
College Hill,1243,0.4%,66
Columbus Square,1978,0.7%,62
Compton Heights,1396,0.5%,26
Covenant Blu-Grand Center,3041,1.0%,77
DeBaliviere Place,3651,1.2%,47
Downtown,5442,1.8%,35
Downtown West,5115,1.7%,36
Dutchtown,15356,5.1%,16
Ellendale,1385,0.5%,10
Fairground Neighborhood,1157,0.4%,67
Fairground Park,12,0.0%,83
Forest Park,50,0.0%,82
Forest Park South East,3458,1.1%,39
Fountain Park,1075,0.4%,53
Fox Park,2545,0.8%,24
Franz Park,2260,0.7%,43
Gravois Park,4683,1.6%,19
Greater Ville,4545,1.5%,56
Hamilton Heights,2187,0.7%,78
Hi-Pointe,2151,0.7%,44
Holly Hills,3647,1.2%,3
Hyde Park,2271,0.8%,65
Jeff Vanderlou,4209,1.4%,59
Kings Oak,167,0.1%,40
Kingsway East,2502,0.8%,55
Kingsway West,2604,0.9%,52
Kosciusko,52,0.0%,20
Lafayette Square,2164,0.7%,32
LaSalle Park,1088,0.4%,34
Lewis Place,1359,0.5%,54
Lindenwood Park,9387,3.1%,9
Marine Villa,2530,0.8%,18
Mark Twain,3257,1.1%,71
Mark Twain I-70 Industrial,902,0.3%,70
McKinley Heights,1668,0.6%,23
Midtown,6862,2.3%,37
Missouri Botanical Garden,0,0.0%,87
Mount Pleasant,4376,1.5%,17
Near North Riverfront,395,0.1%,64
North Hampton,7489,2.5%,14
North Pointe,3396,1.1%,73
North Riverfront,154,0.1%,79
O'Fallon,4342,1.4%,68
O'Fallon Park,0,0.0%,85
Old North St. Louis,1488,0.5%,63
Patch,2842,0.9%,2
Peabody Darst Webbe,2443,0.8%,33
Penrose,5243,1.7%,69
Penrose Park,22,0.0%,84
Princeton Heights,7364,2.4%,6
Riverview,242,0.1%,75
Shaw,6919,2.3%,27
Skinker DeBaliviere,3899,1.3%,46
Soulard,3831,1.3%,21
Southampton,6647,2.2%,7
Southwest Garden,5245,1.7%,13
St. Louis Hills,7516,2.5%,8
St. Louis Place,2336,0.8%,60
The Gate District,3419,1.1%,31
The Hill,2487,0.8%,12
The Ville,1427,0.5%,57
Tiffany,915,0.3%,29
Tower Grove East,5708,1.9%,25
Tower Grove Park,7,0.0%,81
Tower Grove South,12719,4.2%,15
Vandeventer,2041,0.7%,58
Visitation Park,924,0.3%,49
Walnut Park East,2757,0.9%,72
Walnut Park West,2561,0.8%,76
Wells Goodfellow,4473,1.5%,50
West End,6846,2.3%,48
Willmore Park,0,0.0%,88
Wydown Skinker,1121,0.4%,45
unallocated,20,,99